"Kod";"Nazwa";"ogółem;2022;[szt.]";"ogółem;2023;[szt.]";"samochody osobowe;2022;[szt.]";"samochody osobowe;2023;[szt.]";"motocykle;2022;[szt.]";"motocykle;2023;[szt.]";"motocykle o pojemności silnika do 125 cm3;2022;[szt.]";"motocykle o pojemności silnika do 125 cm3;2023;[szt.]";"rowery;2022;[szt.]";"rowery;2023;[szt.]";"motorowery;2022;[szt.]";"motorowery;2023;[szt.]";"samochody ciężarowe;2022;[szt.]";"samochody ciężarowe;2023;[szt.]";"hulajnogi elektryczne			;2022;[szt.]";"hulajnogi elektryczne			;2023;[szt.]";"urządzenie transportu osobistego;2022;[szt.]";"urządzenie transportu osobistego;2023;[szt.]";"inne pojazdy - ogółem;2022;[szt.]";"inne pojazdy - ogółem;2023;[szt.]";"inne pojazdy - pojazd nieustalony;2022;[szt.]";"inne pojazdy - pojazd nieustalony;2023;[szt.]";
0000000;"POLSKA";19391;19058;13959;14013;601;592;170;155;1304;1313;385;308;1692;1481;;264;;8;1280;924;330;338;
0200000;"DOLNOŚLĄSKIE";1702;1651;1216;1176;65;72;18;20;115;124;20;21;146;128;;17;;1;122;92;38;40;
0400000;"KUJAWSKO-POMORSKIE";709;693;519;513;25;23;3;5;38;47;18;13;67;59;;5;;0;39;28;8;12;
0600000;"LUBELSKIE";716;706;499;496;21;42;12;10;64;57;22;18;55;48;;1;;0;43;34;8;7;
0800000;"LUBUSKIE";459;419;353;328;22;14;0;0;22;14;12;10;37;46;;2;;0;13;5;2;2;
1000000;"ŁÓDZKIE";1997;1944;1478;1488;34;33;12;10;102;105;27;27;188;143;;16;;1;156;121;54;52;
1200000;"MAŁOPOLSKIE";2010;1978;1325;1321;79;67;24;17;224;262;51;38;137;119;;74;;1;170;79;19;14;
1400000;"MAZOWIECKIE";2664;2595;1912;1910;80;83;15;17;164;150;35;31;272;228;;30;;1;186;145;61;74;
1600000;"OPOLSKIE";413;436;293;344;14;14;8;1;26;27;8;4;48;33;;4;;0;16;9;3;5;
1800000;"PODKARPACKIE";952;1078;680;789;35;41;13;13;77;77;27;14;62;69;;15;;1;58;59;17;20;
2000000;"PODLASKIE";310;314;199;224;11;9;1;3;21;20;6;3;45;34;;4;;0;27;17;5;4;
2200000;"POMORSKIE";1461;1435;1048;1058;46;42;11;8;96;94;33;29;134;113;;29;;1;93;61;19;19;
2400000;"ŚLĄSKIE";1810;1704;1360;1273;32;30;11;10;103;90;29;24;133;149;;16;;0;142;112;50;45;
2600000;"ŚWIĘTOKRZYSKIE";553;581;410;440;11;14;3;6;38;32;14;5;42;45;;10;;0;35;29;6;6;
2800000;"WARMIŃSKO-MAZURSKIE";725;672;516;476;28;33;7;5;51;43;28;19;55;45;;15;;0;40;36;9;11;
3000000;"WIELKOPOLSKIE";2126;2152;1556;1656;76;53;25;22;122;134;43;34;210;164;;23;;2;94;64;22;22;
3200000;"ZACHODNIOPOMORSKIE";784;700;595;521;22;22;7;8;41;37;12;18;61;58;;3;;0;46;33;9;5;
